자치구별,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
자치구별,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
자치구별,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력
자치구별,살인_발생,살인_검거,강도_발생,강도_검거,강간_발생,강간_검거,절도_발생,절도_검거,폭력_발생,폭력_검거
소계,124,112,122,116,4911,4446,33531,17950,41757,35388
종로구,6,3,4,4,156,757,1079,743,1467,1248
중구,6,6,6,6,161,97,1279,739,1409,1224
용산구,3,2,1,1,141,103,945,484,1291,1069
성동구,3,4,4,1,110,82,905,497,1090,926
광진구,5,3,4,4,208,161,1414,754,1456,1280
동대문구,3,4,7,8,169,147,1240,659,1540,1295
중랑구,4,4,6,7,141,117,1399,835,1660,1442
성북구,4,3,2,2,118,88,895,474,1392,1220
강북구,4,4,1,1,136,115,777,537,1383,1255
도봉구,2,2,2,1,72,64,772,376,1012,851
노원구,6,6,3,3,156,126,1361,654,1899,1513
은평구,4,5,3,3,166,133,1424,825,1647,1457
서대문구,3,3,2,2,137,120,1027,562,1109,907
마포구,4,3,4,4,321,275,1510,730,1701,1367
양천구,1,1,3,3,116,92,1349,700,1546,1289
강서구,9,7,3,3,246,188,1540,921,2098,1925
구로구,5,5,2,1,182,118,1390,770,1907,1537
금천구,7,6,3,4,134,103,1013,520,1282,1108
영등포구,8,8,11,11,279,196,1712,831,2169,1731
동작구,2,3,1,1,180,94,1129,675,1319,1056
관악구,8,4,7,6,321,269,1860,929,2248,1926
서초구,9,9,5,5,312,228,1503,691,1827,1506
강남구,12,11,25,23,578,454,2372,1160,3159,2749
송파구,3,3,7,6,247,216,2024,995,2433,2046
강동구,3,3,6,6,124,103,1612,889,1713,1461
